Index,Variant,"Region,subregion,countryorarea*",Type,2015,2016,2017,2018,2019,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Estimates,Barbados,Country/Area,285,286,286,287,287,287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Estimates,"Bonaire,SintEustatiusandSaba",Country/Area,25,25,25,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Estimates,BritishVirginIslands,Country/Area,29,29,30,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Estimates,CaymanIslands,Country/Area,62,63,63,64,65,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Estimates,Cuba,Country/Area,11325,11335,11339,11338,11333,11327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Estimates,Curaçao,Country/Area,160,161,162,163,163,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Estimates,Dominica,Country/Area,71,71,71,72,72,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Estimates,DominicanRepublic,Country/Area,10282,10398,10513,10627,10739,10848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Estimates,Grenada,Country/Area,110,110,111,111,112,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Estimates,Guadeloupe,Country/Area,400,400,400,400,400,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Estimates,Haiti,Country/Area,10696,10840,10982,11123,11263,11403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Estimates,Jamaica,Country/Area,2891,2906,2921,2935,2948,2961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Estimates,Martinique,Country/Area,378,377,376,376,376,375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,Estimates,Montserrat,Country/Area,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Estimates,PuertoRico,Country/Area,3382,3283,3164,3040,2933,2861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Estimates,SaintBarthélemy,Country/Area,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Estimates,SaintKittsandNevis,Country/Area,51,52,52,52,53,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Estimates,SaintLucia,Country/Area,179,180,181,182,183,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Estimates,SaintMartin(Frenchpart),Country/Area,36,36,37,37,38,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Estimates,SaintVincentandtheGrenadines,Country/Area,109,109,110,110,111,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,Estimates,SintMaarten(Dutchpart),Country/Area,40,41,41,42,42,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,Estimates,TrinidadandTobago,Country/Area,1370,1378,1384,1390,1395,1399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,Estimates,TurksandCaicosIslands,Country/Area,36,37,37,38,38,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,Estimates,UnitedStatesVirginIslands,Country/Area,105,105,105,105,105,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Estimates,CentralAmerica,Subregion,168949,171152,173327,175472,177587,179670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,Estimates,Belize,Country/Area,361,368,376,383,390,398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,Estimates,CostaRica,Country/Area,4848,4899,4950,4999,5048,5094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,Estimates,ElSalvador,Country/Area,6325,6356,6388,6421,6454,6486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,Estimates,Guatemala,Country/Area,16252,16583,16915,17248,17581,17916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,Estimates,Honduras,Country/Area,9113,9271,9429,9588,9746,9905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,Estimates,Mexico,Country/Area,121858,123333,124777,126191,127576,128933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,Estimates,Nicaragua,Country/Area,6223,6304,6385,6466,6546,6625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Estimates,Panama,Country/Area,3968,4037,4107,4177,4246,4315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,Estimates,SouthAmerica,Subregion,412363,416165,419904,423581,427199,430760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Estimates,Argentina,Country/Area,43075,43508,43937,44361,44781,45196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,Estimates,Bolivia(PlurinationalStateof),Country/Area,10870,11032,11193,11353,11513,11673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,Estimates,Brazil,Country/Area,204472,206163,207834,209469,211050,212559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,Estimates,Chile,Country/Area,17969,18209,18470,18729,18952,19116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,Estimates,Colombia,Country/Area,47521,48175,48910,49661,50339,50883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,Estimates,Ecuador,Country/Area,16212,16491,16785,17084,17374,17643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,Estimates,FalklandIslands(Malvinas),Country/Area,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,Estimates,FrenchGuiana,Country/Area,261,268,275,283,291,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,Estimates,Guyana,Country/Area,767,771,775,779,783,787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,Estimates,Paraguay,Country/Area,6689,6778,6867,6956,7045,7133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,Estimates,Peru,Country/Area,30471,30926,31444,31989,32510,32972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,Estimates,Suriname,Country/Area,559,565,571,576,581,587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,Estimates,Uruguay,Country/Area,3412,3424,3437,3449,3462,3474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,Estimates,Venezuela(BolivarianRepublicof),Country/Area,30082,29851,29402,28887,28516,28436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,Estimates,AUSTRALIA/NEWZEALAND,SDGregion,28547,28922,29287,29641,29986,30322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,Estimates,Australia,Country/Area,23932,24263,24585,24898,25203,25500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,Estimates,NewZealand,Country/Area,4615,4659,4702,4743,4783,4822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,Estimates,OCEANIA(EXCLUDINGAUSTRALIAANDNEWZEALAND),SDGregion,11312,11514,11720,11930,12142,12356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,Estimates,Melanesia,Subregion,10122,10316,10514,10715,10919,11123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,Estimates,Fiji,Country/Area,869,872,877,883,890,896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,Estimates,NewCaledonia,Country/Area,271,274,277,280,283,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,Estimates,PapuaNewGuinea,Country/Area,8108,8272,8438,8606,8776,8947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,Estimates,SolomonIslands,Country/Area,603,619,636,653,670,687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,Estimates,Vanuatu,Country/Area,271,278,285,293,300,307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,Estimates,Micronesia,Subregion,523,528,533,538,543,549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,Estimates,Guam,Country/Area,162,163,164,166,167,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,Estimates,Kiribati,Country/Area,111,113,114,116,118,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,Estimates,MarshallIslands,Country/Area,57,58,58,58,59,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,Estimates,Micronesia(Fed.Statesof),Country/Area,109,110,111,113,114,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,Estimates,Nauru,Country/Area,10,10,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,Estimates,NorthernMarianaIslands,Country/Area,56,56,57,57,57,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,Estimates,Palau,Country/Area,18,18,18,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,Estimates,Polynesia,Subregion,667,670,673,676,680,684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,Estimates,AmericanSamoa,Country/Area,56,56,56,55,55,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,Estimates,CookIslands,Country/Area,18,18,18,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,Estimates,FrenchPolynesia,Country/Area,273,275,276,278,279,281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,Estimates,Niue,Country/Area,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,Estimates,Samoa,Country/Area,194,195,195,196,197,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,Estimates,Tokelau,Country/Area,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,Estimates,Tonga,Country/Area,101,101,102,103,104,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,Estimates,Tuvalu,Country/Area,11,11,11,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,Estimates,WallisandFutunaIslands,Country/Area,12,12,12,12,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,Estimates,EUROPEANDNORTHERNAMERICA,SDGregion,1100090,1103793,1107357,1110715,1113784,1116506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,Estimates,EUROPE,SDGsubregion,743059,744269,745415,746419,747183,747636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,Estimates,EasternEurope,Subregion,294391,294252,294056,293790,293445,293013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,Estimates,Belarus,Country/Area,9439,9446,9450,9453,9452,9449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,Estimates,Bulgaria,Country/Area,7200,7152,7102,7052,7000,6948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,Estimates,Czechia,Country/Area,10601,10619,10641,10666,10689,10709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,Estimates,Hungary,Country/Area,9778,9753,9730,9708,9685,9660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,Estimates,Poland,Country/Area,38034,37989,37953,37922,37888,37847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,Estimates,RepublicofMoldova,Country/Area,4071,4066,4060,4052,4043,4034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,Estimates,Romania,Country/Area,19925,19796,19654,19506,19365,19238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,Estimates,RussianFederation,Country/Area,144985,145275,145530,145734,145872,145934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,Estimates,Slovakia,Country/Area,5436,5442,5448,5453,5457,5460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,Estimates,Ukraine,Country/Area,44922,44714,44488,44246,43994,43734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,Estimates,NorthernEurope,Subregion,103519,104101,104677,105237,105769,106261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,Estimates,ChannelIslands,Country/Area,165,167,169,170,172,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,Estimates,Denmark,Country/Area,5689,5711,5732,5752,5772,5792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,Estimates,Estonia,Country/Area,1315,1317,1319,1323,1326,1327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,Estimates,FaroeIslands,Country/Area,48,48,48,48,49,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,Estimates,Finland,Country/Area,5481,5498,5511,5523,5532,5541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,Estimates,Iceland,Country/Area,330,332,334,337,339,341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,Estimates,Ireland,Country/Area,4652,4696,4753,4819,4882,4938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,Estimates,IsleofMan,Country/Area,83,83,84,84,85,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,Estimates,Latvia,Country/Area,1998,1974,1951,1928,1907,1886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,Estimates,Lithuania,Country/Area,2932,2890,2845,2801,2760,2722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,Estimates,Norway,Country/Area,5200,5251,5296,5338,5379,5421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,Estimates,Sweden,Country/Area,9765,9836,9905,9972,10036,10099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,Estimates,UnitedKingdom,Country/Area,65860,66298,66727,67142,67530,67886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,Estimates,SouthernEurope,Subregion,153065,152937,152796,152638,152447,152215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,Estimates,Albania,Country/Area,2891,2886,2884,2883,2881,2878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,Estimates,Andorra,Country/Area,78,77,77,77,77,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,Estimates,BosniaandHerzegovina,Country/Area,3429,3386,3352,3324,3301,3281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,Estimates,Croatia,Country/Area,4233,4209,4183,4156,4130,4105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,Estimates,Gibraltar,Country/Area,34,34,34,34,34,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,Estimates,Greece,Country/Area,10660,10615,10569,10522,10473,10423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,Estimates,HolySee,Country/Area,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,Estimates,Italy,Country/Area,60578,60663,60674,60627,60550,60462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,Estimates,Malta,Country/Area,434,436,438,439,440,442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,Estimates,Montenegro,Country/Area,627,627,628,628,628,628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,Estimates,NorthMacedonia,Country/Area,2079,2081,2082,2083,2083,2083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,Estimates,Portugal,Country/Area,10368,10326,10289,10256,10226,10197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,Estimates,SanMarino,Country/Area,33,34,34,34,34,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,Estimates,Serbia,Country/Area,8877,8854,8830,8803,8772,8737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,Estimates,Slovenia,Country/Area,2071,2074,2076,2078,2079,2079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,Estimates,Spain,Country/Area,46672,46634,46647,46693,46737,46755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,Estimates,WesternEurope,Subregion,192084,192979,193886,194755,195522,196146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,Estimates,Austria,Country/Area,8679,8747,8820,8891,8955,9006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,Estimates,Belgium,Country/Area,11288,11354,11420,11482,11539,11590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,Estimates,France,Country/Area,64453,64668,64843,64991,65130,65274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,Estimates,Germany,Country/Area,81787,82194,82658,83124,83517,83784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,Estimates,Liechtenstein,Country/Area,37,38,38,38,38,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,Estimates,Luxembourg,Country/Area,567,579,592,604,616,626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,Estimates,Monaco,Country/Area,38,38,38,39,39,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,Estimates,Netherlands,Country/Area,16938,16981,17021,17060,17097,17135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,Estimates,Switzerland,Country/Area,8297,8380,8456,8526,8591,8655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,Estimates,NORTHERNAMERICA,SDGsubregion,357031,359525,361942,364296,366601,368870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,Estimates,Bermuda,Country/Area,64,63,63,63,63,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,Estimates,Canada,Country/Area,36027,36383,36732,37075,37411,37742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,Estimates,Greenland,Country/Area,56,56,56,57,57,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,Estimates,SaintPierreandMiquelon,Country/Area,6,6,6,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,Estimates,UnitedStatesofAmerica,Country/Area,320878,323016,325085,327096,329065,331003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,